dlikelihood_dstandard_lt,m_inpool.mean_0,m_inpool.mean_1,m_inpool.sd_0,m_inpool.sd_1,m_outpool.mean_0,m_outpool.mean_1,m_outpool.sd_0,m_outpool.sd_1,m_exp_all.mean_0,m_exp_all.mean_1,m_exp_all.sd_0,m_exp_all.sd_1,m_exp_ip.mean_0,m_exp_ip.mean_1,m_exp_ip.sd_0,m_exp_ip.sd_1,m_partner_all.mean_0,m_partner_all.mean_1,m_partner_all.sd_0,m_partner_all.sd_1,m_partner_ip.mean_0,m_partner_ip.mean_1,m_partner_ip.sd_0,m_partner_ip.sd_1,m_inpool.statistic,m_inpool.p.value,m_inpool.parameter,m_inpool.conf.low,m_inpool.conf.high,m_outpool.statistic,m_outpool.p.value,m_outpool.parameter,m_outpool.conf.low,m_outpool.conf.high,m_exp_all.statistic,m_exp_all.p.value,m_exp_all.parameter,m_exp_all.conf.low,m_exp_all.conf.high,m_exp_ip.statistic,m_exp_ip.p.value,m_exp_ip.parameter,m_exp_ip.conf.low,m_exp_ip.conf.high,m_partner_all.statistic,m_partner_all.p.value,m_partner_all.parameter,m_partner_all.conf.low,m_partner_all.conf.high,m_partner_ip.statistic,m_partner_ip.p.value,m_partner_ip.parameter,m_partner_ip.conf.low,m_partner_ip.conf.high,m_inpool.d,m_outpool.d,m_exp_all.d,m_exp_ip.d,m_partner_all.d,m_partner_ip.d
0_0_10,33.72,28.788,5.592969919909279,7.095180944630998,116.28,121.212,5.592969919909279,7.095180944630998,0.4962666666666667,0.316704,0.11805908907296561,0.10350497318277613,2.207255176784772,1.6372350155117619,0.38242030135125016,0.29139011345031524,0.31311466666666665,0.24741866666666668,0.06142546773765969,0.07296586487055338,1.390618373986284,1.2780453697268854,0.12451324636494936,0.12703015675253931,27.295248220446172,4.938286085522132e-153,4998,4.5777667724524465,5.286233227547552,-27.29524822044619,4.938286085520443e-153,4998,-5.286233227547554,-4.57776677245245,57.18297834907702,0,4998,0.17340661081838266,0.18571872251495072,59.28024613287604,0,4998,0.551169200277016,0.5888711222690045,34.439537919666165,2.0220162875129593e-233,4998,0.06195631615545595,0.06943568384454402,31.643505364486717,1.808299052129816e-200,4998,0.10559866698947502,0.11954734152932225,0.7720262044339012,-0.7720262044339018,1.6173788703630358,1.6766985612385703,0.9740972321570878,0.8950134889496582
0_1_10,48.5496,79.3104,5.7490138549251775,8.355236431743396,101.4504,70.6896,5.7490138549251775,8.355236431743396,0.911504,1.049376,0.158730892338174,0.17599111023987687,2.8159064334374095,1.9789855806756522,0.3600298379288821,0.21324853736785843,0.5711386666666667,0.8200693333333333,0.08164857643728957,0.12030312592576169,1.764783868271084,1.5468038769658585,0.1451402162080569,0.1115161374841345,-151.64984539743057,0,4998,-31.158457273479222,-30.36314272652079,151.64984539743057,0,4998,30.36314272652079,31.158457273479222,-29.087083713951895,5.544191246911176e-172,4998,-0.14716442727966408,-0.12857957272033613,100.00362809460881,0,4998,0.8205141273787494,0.8533275781447653,-85.6057182253566,0,4998,-0.2546313760706171,-0.24322995726271612,59.5462348848389,0,4998,0.21080344318783822,0.22515653942261257,-4.289305361856589,4.289305361856589,-0.822706965563047,2.8285297427582177,-2.421295354619779,1.684221859247862
1_0_10,42.0424,47.2628,5.859277659735674,8.306848840268012,107.9576,102.7372,5.859277659735674,8.306848840268012,0.7844026666666667,0.7960213333333334,0.17505870530167456,0.22991441649353922,2.796559758262221,2.504022371733622,0.4812486118484072,0.47628271459245225,0.43956,0.5189813333333333,0.07705209701692957,0.12669296430958146,1.5656583764390724,1.6329793311184537,0.14189856201489465,0.1811387291539306,-25.67735773373714,1.0837175676855057e-136,4998,-5.618971944709353,-4.821828055290643,25.67735773373714,1.0837175676855057e-136,4998,4.821828055290643,5.618971944709353,-2.0103281960737136,0.04445008913283269,4998,-0.02294899785546945,-2.883354778638815e-4,21.60267578818687,5.061764511114395e-99,4998,0.26598967403426743,0.31908509902293003,-26.78014979245855,9.492454425815346e-148,4998,-0.08523536574118684,-0.07360730092547975,-14.628570318975099,1.7484834601635594e-47,4998,-0.07634293049799137,-0.05829897886077138,-0.7262653510591349,0.7262653510591349,-0.0568606679941697,0.6110159416640553,-0.7574570207775583,-0.413758450864462
1_1_10,56.8548,113.2056,5.989262514382424,6.901128811400974,93.1452,36.7944,5.989262514382424,6.901128811400974,1.432896,2.6281866666666667,0.24462846971899366,0.36947996216796947,3.7788549613925606,3.4762708796778936,0.495278306975476,0.39083891446557284,0.8029573333333333,1.7188693333333334,0.10885044884752633,0.1927125526663535,2.1177029628271944,2.2736792996942228,0.17191689931772666,0.17020690188833462,-308.34368566369875,0,4998,-56.70907648361095,-55.992523516389056,308.34368566369875,0,4998,55.992523516389056,56.70907648361095,-134.87102121438528,0,4998,-1.2126650003772912,-1.1779163329560425,23.97972401275668,2.2646161714518878e-120,4998,0.277846617843697,0.3273215455856369,-206.91183599960604,0,4998,-0.924590040867366,-0.9072339591326342,-32.23702867002448,2.589705719880085e-207,4998,-0.16546176608277413,-0.14649090765128264,-8.721276442754187,8.721276442754185,-3.8147285474498616,0.6782490184160856,-5.85235049372321,-0.9118008631151785
